,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
316,192.168.0.101,57029,39.173.121.98,443,17,otheve.beacon.qq.com,QUIC.QQ
317,192.168.0.101,59411,223.109.215.27,80,6,minorshort.weixin.qq.com,HTTP.QQ
318,192.168.0.101,35161,120.241.139.217,55860,17,,Unknown
319,192.168.0.101,61954,192.168.1.1,53,17,receiver.tdm.qq.com,DNS.QQ
320,192.168.0.101,0,112.60.1.30,0,1,,ICMP
321,192.168.0.101,62153,183.194.237.110,8013,6,receiver.tdm.qq.com,TLS.QQ
322,192.168.0.101,54644,192.168.1.1,53,17,api-adservices.apple.com,DNS.Apple
323,192.168.0.101,50374,192.168.1.1,53,17,iadsdk.qtlcdn.com.cdnmg.com,DNS
324,192.168.0.101,62156,103.31.171.247,443,6,ca.iadsdk.apple.com,TLS.Apple
325,192.168.0.1,1024,255.255.255.255,5001,17,,TargusDataspeed
