,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
223,192.168.0.101,62147,111.48.210.245,8081,6,,Unknown
224,192.168.0.101,0,239.255.255.250,0,2,,IGMP
225,192.168.0.101,59396,183.194.189.156,443,6,tab.video.qq.com,TLS.QQ
226,192.168.0.101,35161,120.241.139.217,55850,17,,Unknown
227,192.168.0.101,56620,192.168.1.1,53,17,info6.video.qq.com,DNS.QQ
228,192.168.0.101,52423,192.168.1.1,53,17,ins-8npd4ftd.ias.tencent-cloud.net,DNS
229,192.168.0.101,55479,192.168.1.1,53,17,richmedia.video.qq.com,DNS.QQ
230,192.168.0.101,65297,192.168.1.1,53,17,m.v.qq.sched.legopic2-dk.tdnsv6.com,DNS
231,192.168.0.101,49920,192.168.1.1,53,17,cdn-go.cn.sched.legopic1-dk.tdnsv6.com,DNS
232,192.168.0.101,63448,192.168.1.1,53,17,ins-ntlwjf3q.ias.tencent-cloud.net,DNS
233,192.168.0.101,20312,120.228.135.76,7313,17,,Unknown
234,192.168.0.101,57837,192.168.1.1,53,17,vv6.play.ott.video.qq.com,DNS.QQ
235,192.168.0.101,62150,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
236,192.168.0.101,61858,192.168.1.1,53,17,m.v.qq.com,DNS.Tencentvideo
237,192.168.0.101,20312,10.30.187.19,19666,17,,Unknown
238,192.168.0.101,62128,183.194.204.26,443,6,api6.poll.video.qq.com,TLS.QQ
239,192.168.0.101,62152,183.194.189.246,443,6,playproxy.video.qq.com,TLS.QQ
240,192.168.0.101,35161,120.241.139.217,30011,17,,Unknown
241,192.168.0.101,51849,192.168.1.1,53,17,tv6.ott.video.qq.com,DNS.QQ
